Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/21/2024,Minnesota Wild,5,Edmonton Oilers,3,,18347,2:39,
11/21/2024,Carolina Hurricanes,2,New Jersey Devils,4,,16086,2:23,
11/21/2024,Vegas Golden Knights,3,Ottawa Senators,2,,16822,2:32,
11/21/2024,San Jose Sharks,2,St. Louis Blues,3,SO,17273,2:39,
11/21/2024,Colorado Avalanche,2,Washington Capitals,1,,17414,2:36,
11/22/2024,Buffalo Sabres,3,Anaheim Ducks,2,OT,13776,2:27,
11/22/2024,Winnipeg Jets,4,Pittsburgh Penguins,1,,15232,2:27,
11/23/2024,Carolina Hurricanes,4,Columbus Blue Jackets,5,SO,16013,2:46,
11/23/2024,Minnesota Wild,3,Calgary Flames,4,SO,17116,2:35,
11/23/2024,Boston Bruins,2,Detroit Red Wings,1,,19515,2:31,
11/23/2024,New York Rangers,2,Edmonton Oilers,6,,18347,2:22,
11/23/2024,Colorado Avalanche,7,Florida Panthers,4,,18638,2:35,
11/23/2024,Seattle Kraken,1,Los Angeles Kings,2,,18145,2:20,
11/23/2024,Vegas Golden Knights,6,Montreal Canadiens,2,,21105,2:25,
11/23/2024,Winnipeg Jets,1,Nashville Predators,4,,17159,2:28,
11/23/2024,St. Louis Blues,1,New York Islanders,3,,17255,2:25,
11/23/2024,Vancouver Canucks,4,Ottawa Senators,3,,18995,2:34,
11/23/2024,Chicago Blackhawks,2,Philadelphia Flyers,3,OT,18714,2:29,
11/23/2024,Utah Hockey Club,6,Pittsburgh Penguins,1,,16324,2:32,
11/23/2024,Buffalo Sabres,4,San Jose Sharks,2,,17435,2:40,
11/23/2024,Dallas Stars,4,Tampa Bay Lightning,2,,19092,2:34,
11/23/2024,New Jersey Devils,3,Washington Capitals,2,,18573,2:31,
11/24/2024,Utah Hockey Club,2,Toronto Maple Leafs,3,,18641,2:32,
11/25/2024,Seattle Kraken,3,Anaheim Ducks,2,,15331,2:27,
11/25/2024,Dallas Stars,4,Carolina Hurricanes,6,,18812,2:35,
11/25/2024,Washington Capitals,4,Florida Panthers,1,,18504,2:31,
11/25/2024,Winnipeg Jets,4,Minnesota Wild,1,,17686,2:27,
11/25/2024,Nashville Predators,2,New Jersey Devils,5,,16514,2:31,
11/25/2024,Detroit Red Wings,4,New York Islanders,2,,14900,2:18,
11/25/2024,St. Louis Blues,5,New York Rangers,2,,18006,2:23,
11/25/2024,Calgary Flames,3,Ottawa Senators,4,,17196,2:40,
11/25/2024,Vegas Golden Knights,5,Philadelphia Flyers,4,SO,18050,2:43,
11/25/2024,Los Angeles Kings,2,San Jose Sharks,7,,10713,2:27,
11/25/2024,Colorado Avalanche,2,Tampa Bay Lightning,8,,19092,2:26,
11/26/2024,Vancouver Canucks,2,Boston Bruins,0,,17850,2:36,
11/26/2024,Utah Hockey Club,3,Montreal Canadiens,2,OT,21105,2:30,
11/27/2024,Minnesota Wild,1,Buffalo Sabres,0,,17326,2:24,
11/27/2024,New York Rangers,3,Carolina Hurricanes,4,,18905,2:24,
11/27/2024,Montreal Canadiens,4,Columbus Blue Jackets,3,OT,15485,2:33,
